
PHP CODE SNIFFER REPORT SUMMARY
--------------------------------------------------------------------------------------------
FILE                                                                        ERRORS  WARNINGS
--------------------------------------------------------------------------------------------
/var/www/html/check-environment.php                                         110     1
/var/www/html/cleanup-problematic-dirs.php                                  42      1
/var/www/html/run-comprehensive-audit.php                                   32      1
/var/www/html/test_cache.php                                                22      0
/var/www/html/test_cache_service.php                                        4       0
/var/www/html/test_optimized_queries.php                                    20      0
/var/www/html/app/_ide_helper_cart.php                                      2       0
/var/www/html/app/Console/Commands/AgentProposeFixCommand.php               36      3
/var/www/html/app/Console/Commands/GenerateSitemap.php                      6       1
/var/www/html/app/Console/Commands/OptimizeDatabase.php                     10      0
/var/www/html/app/Console/Commands/OptimizePerformance.php                  3       0
/var/www/html/app/Console/Commands/SEOAudit.php                             3       0
/var/www/html/app/Console/Commands/StatsCommand.php                         12      3
/var/www/html/app/Console/Commands/UpdatePricesCommand.php                  6       2
/var/www/html/app/Contracts/StoreAdapterInterface.php                       5       0
/var/www/html/app/Contracts/UserBanService.php                              0       1
/var/www/html/app/DTO/AnalysisResult.php                                    1       0
/var/www/html/app/DTO/ProcessResult.php                                     1       0
/var/www/html/app/Enums/NotificationStatus.php                              1       0
/var/www/html/app/Enums/OrderStatus.php                                     1       0
/var/www/html/app/Enums/UserRole.php                                        1       0
/var/www/html/app/Events/OrderStatusChanged.php                             1       0
/var/www/html/app/Exceptions/GlobalExceptionHandler.php                     23      3
/var/www/html/app/Exceptions/ProductUpdate.php                              2       0
/var/www/html/app/Http/Controllers/AdminController.php                      2       0
/var/www/html/app/Http/Controllers/AnalyticsController.php                  2       0
/var/www/html/app/Http/Controllers/BackupController.php                     82      3
/var/www/html/app/Http/Controllers/BrandController.php                      1       0
/var/www/html/app/Http/Controllers/CartController.php                       1       0
/var/www/html/app/Http/Controllers/CategoryController.php                   1       0
/var/www/html/app/Http/Controllers/ErrorController.php                      44      0
/var/www/html/app/Http/Controllers/HealthController.php                     1       0
/var/www/html/app/Http/Controllers/HomeController.php                       1       0
/var/www/html/app/Http/Controllers/LocaleController.php                     2       0
/var/www/html/app/Http/Controllers/LogController.php                        0       1
/var/www/html/app/Http/Controllers/OrderController.php                      1       0
/var/www/html/app/Http/Controllers/PaymentController.php                    2       0
/var/www/html/app/Http/Controllers/PointsController.php                     2       0
/var/www/html/app/Http/Controllers/PriceAlertController.php                 0       1
/var/www/html/app/Http/Controllers/PriceComparisonController.php            3       0
/var/www/html/app/Http/Controllers/ProductController.php                    4       0
/var/www/html/app/Http/Controllers/ProfileController.php                    1       0
/var/www/html/app/Http/Controllers/RecommendationController.php             2       0
/var/www/html/app/Http/Controllers/ReportController.php                     1       0
/var/www/html/app/Http/Controllers/SettingController.php                    7       0
/var/www/html/app/Http/Controllers/SystemController.php                     9       0
/var/www/html/app/Http/Controllers/UserController.php                       1       1
/var/www/html/app/Http/Controllers/WebhookController.php                    4       0
/var/www/html/app/Http/Controllers/Admin/AIControlPanelController.php       2       0
/var/www/html/app/Http/Controllers/Admin/DashboardController.php            0       2
/var/www/html/app/Http/Controllers/Api/PriceSearchController.php            7       0
/var/www/html/app/Http/Controllers/Api/Admin/BrandController.php            1       0
/var/www/html/app/Http/Controllers/Api/Admin/CategoryController.php         1       0
/var/www/html/app/Http/Controllers/Api/V2/BaseApiController.php             0       2
/var/www/html/app/Http/Controllers/Auth/AuthController.php                  2       0
/var/www/html/app/Http/Controllers/Auth/EmailVerificationController.php     2       0
/var/www/html/app/Http/Middleware/AdminMiddleware.php                       1       0
/var/www/html/app/Http/Middleware/ApiErrorHandler.php                       3       0
/var/www/html/app/Http/Middleware/CheckPermission.php                       1       0
/var/www/html/app/Http/Middleware/CheckUserRole.php                         1       0
/var/www/html/app/Http/Middleware/LocaleMiddleware.php                      1       0
/var/www/html/app/Http/Middleware/RedirectIfAuthenticated.php               1       0
/var/www/html/app/Http/Middleware/RequirePassword.php                       0       1
/var/www/html/app/Http/Middleware/SecurityHeaders.php                       0       1
/var/www/html/app/Http/Middleware/SecurityHeadersMiddleware.php             0       2
/var/www/html/app/Http/Middleware/SetCacheHeaders.php                       2       0
/var/www/html/app/Http/Middleware/SetLocale.php                             0       1
/var/www/html/app/Http/Middleware/SetLocaleAndCurrency.php                  1       0
/var/www/html/app/Http/Middleware/ThrottleSensitiveOperations.php           4       1
/var/www/html/app/Http/Middleware/ValidateApiRequest.php                    0       3
/var/www/html/app/Http/Requests/CartRequest.php                             1       0
/var/www/html/app/Http/Requests/ChangePasswordRequest.php                   1       0
/var/www/html/app/Http/Requests/ForgotPasswordRequest.php                   2       0
/var/www/html/app/Http/Requests/ProductCreateRequest.php                    0       1
/var/www/html/app/Http/Requests/ProductIndexRequest.php                     2       0
/var/www/html/app/Http/Requests/ProductRequest.php                          2       0
/var/www/html/app/Http/Requests/ProductSearchRequest.php                    0       1
/var/www/html/app/Http/Requests/ProductUpdateRequest.php                    4       3
/var/www/html/app/Http/Requests/RegisterRequest.php                         2       0
/var/www/html/app/Http/Requests/ResetPasswordRequest.php                    2       0
/var/www/html/app/Http/Requests/StoreBrandRequest.php                       1       0
/var/www/html/app/Http/Requests/StorePriceAlertRequest.php                  1       0
/var/www/html/app/Http/Requests/StoreReviewRequest.php                      1       0
/var/www/html/app/Http/Requests/SwitchLanguageRequest.php                   1       0
/var/www/html/app/Http/Requests/UpdateBrandRequest.php                      1       0
/var/www/html/app/Http/Requests/UpdateCartRequest.php                       2       0
/var/www/html/app/Http/Requests/UpdatePriceAlertRequest.php                 1       0
/var/www/html/app/Http/Requests/UpdateProductRequest.php                    1       0
/var/www/html/app/Http/Requests/UpdateReviewRequest.php                     1       0
/var/www/html/app/Http/Requests/UpdateUserRequest.php                       1       0
/var/www/html/app/Jobs/ProcessHeavyOperation.php                            16      3
/var/www/html/app/Listeners/SendOrderStatusNotification.php                 1       0
/var/www/html/app/Models/ExchangeRate.php                                   1       0
/var/www/html/app/Models/Notification.php                                   0       1
/var/www/html/app/Models/Product.php                                        0       1
/var/www/html/app/Models/Review.php                                         1       0
/var/www/html/app/Models/User.php                                           0       1
/var/www/html/app/Models/Webhook.php                                        1       0
/var/www/html/app/Models/WebhookLog.php                                     1       0
/var/www/html/app/Notifications/OrderStatusUpdateNotification.php           2       0
/var/www/html/app/Notifications/PriceDropNotification.php                   1       0
/var/www/html/app/Policies/ProductPolicy.php                                1       0
/var/www/html/app/Policies/UserPolicy.php                                   1       0
/var/www/html/app/Providers/AppServiceProvider.php                          1       0
/var/www/html/app/Providers/CoprraServiceProvider.php                       0       1
/var/www/html/app/Providers/EventServiceProvider.php                        2       0
/var/www/html/app/Providers/ViewServiceProvider.php                         2       0
/var/www/html/app/Repositories/ProductRepository.php                        5       1
/var/www/html/app/Rules/ValidOrderStatus.php                                1       0
/var/www/html/app/Rules/ValidOrderStatusTransition.php                      1       0
/var/www/html/app/Schemas/BrandSchema.php                                   2       0
/var/www/html/app/Schemas/CategorySchema.php                                2       0
/var/www/html/app/Schemas/PaginationLinksSchema.php                         2       0
/var/www/html/app/Schemas/PaginationMetaSchema.php                          2       0
/var/www/html/app/Schemas/PriceOfferSchema.php                              2       0
/var/www/html/app/Schemas/ProductCreateRequestSchema.php                    2       0
/var/www/html/app/Schemas/ProductDetailSchema.php                           2       0
/var/www/html/app/Schemas/ProductSchema.php                                 2       0
/var/www/html/app/Schemas/ProductUpdateRequestSchema.php                    2       0
/var/www/html/app/Schemas/ReviewSchema.php                                  2       0
/var/www/html/app/Services/AIService.php                                    0       2
/var/www/html/app/Services/BackupService.php                                82      1
/var/www/html/app/Services/CacheService.php                                 5       2
/var/www/html/app/Services/CDNService.php                                   46      3
/var/www/html/app/Services/ExchangeRateService.php                          1       0
/var/www/html/app/Services/ExternalStoreService.php                         16      0
/var/www/html/app/Services/FactoryConfigurationService.php                  6       0
/var/www/html/app/Services/FileCleanupService.php                           2       0
/var/www/html/app/Services/FinancialTransactionService.php                  2       2
/var/www/html/app/Services/LoginAttemptService.php                          8       0
/var/www/html/app/Services/NotificationService.php                          2       1
/var/www/html/app/Services/OptimizedQueryService.php                        4       5
/var/www/html/app/Services/PasswordHistoryService.php                       4       0
